time,year,month,country,countrycode,cpi_sa,cpi_yoy_nsa,exchange_rate_neer,exchange_rate_reer,exchnage_rate_vs_usd,ind_prod_const,ind_prod_const_sa
1992-04,1992,4,Myanmar,MMR,2.67172028862,24.61388988597,,,6.2713,,
1992-05,1992,5,Chad,TCD,42.99872514274,-7.05437320213,,,272.46603872162,,
1992-05,1992,5,Singapore,SGP,77.41444955193,2.41561473018,80.52347751958,95.07968629608,1.64195238095,1593374482.48269,1650865426.0411
1992-05,1992,5,Lao PDR,LAO,4.53383685613,4.23001153564,,,716.99998084744,,
1992-05,1992,5,Vietnam,VNM,,,,,11291.6151157298,,
1992-05,1992,5,China,CHN,44.72492920807,4.77235997034,124.7022993919,82.26333880465,5.51819047619,241166954965.727,250300438792.818
1992-05,1992,5,Taiwan China,TWN,77.29833138484,5.5587808418,,,24.98623809524,5878395927.05918,5621790620.91194
1992-05,1992,5,United States,USA,64.23342897079,3.02359882006,83.94296410863,98.83654603753,1.0,173689212122.373,174846506823.915
1992-05,1992,5,Papua New Guinea,PNG,,,235.13506853266,112.58686162267,1.00268914691,,
1992-05,1992,5,Philippines,PHL,35.13110378395,8.88834816463,159.31572722672,91.21992183339,25.67095238095,3561209242.44619,3322789384.62369
1992-05,1992,5,Myanmar,MMR,2.73989061963,18.22484832173,,,6.1942,,
1992-05,1992,5,Malaysia,MYS,62.29821002269,5.10672478251,122.26378527467,118.71790834591,2.52238095238,2865486093.22963,2938146639.3077
1992-05,1992,5,Thailand,THA,55.20373641375,4.16117178878,,,25.55404761905,,
1992-05,1992,5,Brunei,BRN,81.77086992298,2.61449679707,,,1.62833426132,,
1992-05,1992,5,Cambodia,KHM,,,,,946.0,,
1992-05,1992,5,Indonesia,IDN,15.27207946341,9.01231594464,,,2026.0,17038864329.0693,16490989437.7325
1992-06,1992,6,Indonesia,IDN,15.36848150647,9.26378211828,,,2031.77272727273,16889614050.5462,16149387212.3305
